nama_warung,daerah,kategori,price_level,rating,rating_count,contents
Sult Cafe & Eatery,Keputih,cafe,Tidak Diketahui,4.6,800,"Nyoba pesan Beef Teriyaki Onsen, pizza, and pasta carbonara.

Pasta Carbonara
Rasa enak , tipe yang aku suka, porsi juga oke

Beef Teriyaki onsen
Sebenernya enak, tapi bahan yang dipakai kurang fresh, telur onsen tengahnya masih kayak es dan bau agak amis, daun bawang yang dipakai kelihatan sekali sudah lama tersimpan di kulkas, terlihat kering kisut dan agak kuning, bumbu dagingnya harus banyakin bawang

Pizza
Adonan tepungnya dan juga rasa dari toppingnya perlu  perbaikan juga.

Untuk minuman ya sudah lumayan oke, saran aja bisa ditambahkan menu tea pot yang bisa refill air hangat

buku menu bisa diperbaiki juga, sayang banget, tempatnya sudah renov, tapi buku menunya masih lama"
Sult Cafe & Eatery,Keputih,cafe,Tidak Diketahui,4.6,800,"Makanan nya enak. Sesuai dg harga nya, nyaman , bersih,  cocok buat nongky..
Adem ,,"
Sult Cafe & Eatery,Keputih,cafe,Tidak Diketahui,4.6,800,"Kalau kamu lagi cari tempat ngopi santai dengan ambience estetik atau pengen ngajak dinner bareng sama keluarga + bisa multitasking juga, Sult Cafe & Eatery di Jl. Arief Rahman Hakim No.185 ini bisa banget jadi pilihan! Bayangin aja, kamu duduk manis di ruangan putih minimalis ala Pinterest sambil nyeruput teh hangat… eh mobilmu dicuciin di sebelah. Yup, ini literally cafe sebelahan sama carwash, tapi konsepnya bisa dibalik: nongki sambil mobil dititip cuci, bukan cuci sambil nunggu!

Desain interiornya bikin betah. Dominasi warna putih, kursi kayu shabby chic, bunga kering sebagai dekorasi, sampai lampu rotan gantung—vibes-nya homy banget, kayak lagi main ke rumah temen yang jago dekor. Mau ngobrol serius atau chill bareng pasangan pun tetap nyaman. Outdoor-nya juga nggak kalah asik, cocok buat yang suka udara malam sambil ditemani cahaya temaram.

Soal makanan? Jangan skip! Pasta aglio olio-nya serius pedes, tapi nagih. Ada potongan cabe yang bikin sensasi “pedes nyetrum sampe kepala”—no joke. Nasi goreng Penang-nya juga juara, bumbunya kuat tapi nggak bikin eneg. Cocok buat lidah lokal yang doyan rasa medok. Dan yang paling penting, harga worth it banget sama rasa & suasana yang ditawarin.

Fakta menarik: Ternyata, bunga-bunga kering yang jadi dekorasi utama di cafe ini ganti secara seasonal, biar suasananya nggak ngebosenin meskipun kamu sering mampir.

Verdict: Hidden gem buat warga Sukolilo & sekitarnya. Wajib masuk wishlist tempat hangout bareng keluarga atau pasangan. Bonus: bisa hemat waktu karena nyuci mobil sambil ngopi cantik!

Rating: 4.6/5
Vibe: Calm & classy
Kategori: Worth it & Instagramable banget!

Mau coba juga? Jangan lupa foto di spot dekat jendela, lighting-nya cakep buat selfie!"
Sult Cafe & Eatery,Keputih,cafe,Tidak Diketahui,4.6,800,"Tempatnya aesthetic dan bagus untuk foto foto. Ada ruangan indoor dan outdoor. Ruangan indoor ACnya dingin. kalau sepi enak, kalau rame mungkin akan terdengar kalau ngomong kencang. Ada colokan dibeberapa meja.

Outdoornya sebenernya lebih enak apalagi kalau pas enggak hujan dan angin berhembus sepoi. Sangat enak untuk tempat ngobrol dan nongkrong bersama teman.

Harga masuk kategori medium lah. Rasa kopinya enak, sayang aku tidak membeli makanan. Presentasi minumannya juga oke.

Wifi kencang (mungkin waktu itu sepi) dan kamar mandi bersih. Overall bagus untuk tempat nongkrong alternatif karena tidak terlalu ramai, mungkin harganya saja yang agak nanggung."
Sult Cafe & Eatery,Keputih,cafe,Tidak Diketahui,4.6,800,Salah satu cafe di surabaya yang tidak menyesal untuk makan disana dan pingin balik lagi .  Cafenya memang tidak terlalu besar tapi estetik dan menyenangkan . Makanan yang kupesan tidak ada yang fail enak rasanya dan penampilannya juga oke . Suka banget dan harganya juga reasonable .
Legends Cafe,Manyar Sabrangan,cafe,Tidak Diketahui,5.0,182,"Cocok buat yg nyari cafe ada colokan, enak buat WFC dan harga menunya masih aman di kantong. Ada indoor dan outdoor area. Ak nyoba di indoor AC nya dingin poll. Kalo malem better di outdorr sih kalo ga tahan dingin. Buat pelayanan oke. Ada mushola sama toilet meski terpisah dari cafenya. Ini tempatnya sebelahan persis sama car wash jadi bisalah kalo lg nyuci mobil sambil ngopi. Internet nya kenceng.

Menu yg ak cobain:
Chocolate ice
Leci tea
Chicken fried rice
French fries
Overall worth it dari segi harga dan porsi lumayan banyak. Aku abis 80k an

Tambahin menunya lagi plisss, rice bowl hehe.

Ga cocok kalo tujuan ngafenya berburu foto instagrammable yah

Buka sampe jam 12 malem gaes.  Kemaren banyak yg nongki sih dari sore sampe malem.Kalop siang ga terlalu rame"
Legends Cafe,Manyar Sabrangan,cafe,Tidak Diketahui,5.0,182,"Parkiran luas sekali untuk motor. Masuk ke dalam.
Ada outdoor dan indoor. Lumayan bersih dan nyaman.
Staffnya ramah banget. Mantap.
Minumannnya fancy, harga standar kafe.
Makanannya pesan mix platter, dan chicken pop. Sarannya, mungkin bisa RnD lagi tepungnya, karena tepungnya agak keras. Iyasih krispi. Enak kok, tapi mungkin bisa diracik lagi agak tidak terlalu keras."
Legends Cafe,Manyar Sabrangan,cafe,Tidak Diketahui,5.0,182,"Tempat nongkrong sembari menunggu cuci  mobil di Legends Car Wash.
Terdapat pilihan indoor (dengan AC, non smoking) dan outdoor.
Untuk pilihan makanan beragam termasuk cemilan. Minuman Kopi juga rekomen, Niki kopinya berkualitas."
Legends Cafe,Manyar Sabrangan,cafe,Tidak Diketahui,5.0,182,"Salah satu tempat paling OK di sekitaran kampus ITS, ada indoor dan outdoor
Musiknya slow, cocok banget buat nemenin nugas.
Makanannya enak, kopinya juga mantab.
Staf ramah dan pesanan cepet dateng."
Legends Cafe,Manyar Sabrangan,cafe,Tidak Diketahui,5.0,182,"Beberapa kali kesini, tempatnya enak, kopinya lumayan kerasa, dan makanannya sesuai dengan harganya. Mantap poll"
The Localist Coffee and Bistro Surabaya,Klampis Ngasem,cafe,Sedang,4.4,767,"Lucu banged dekorasi Ala-ala Halloween nya 🎃 Tapi kalau kita versi malaikat aja ya 🤣🥳

Keren banged lho cafe ini bukan hanya kids friendly tapi juga parents friendly 😍 yang belum pernah ke sini wajib deh ke sini, tempat nya nyaman dan estetik pastinya ya sesuai tuntutan jaman now 🤣 makanan dan minuman nya juga enak” dengan harga yang masih terjangkau & pelayanan yang excellent 🥰 thanks ya sukses terus, kaya nya bisa dibuat langganan tempat nongki keluarga kita nih 😍"
The Localist Coffee and Bistro Surabaya,Klampis Ngasem,cafe,Sedang,4.4,767,"Tempat makan dalam lingkungan dr mata sjamsu. Enak rawonnya, ga tau lainnya, cuman porsi sedikit dengan harga yang bisa dapat banyak di tempat lainnya. Tapi overall oke lah. Parkirnya susah di dr sjamsu ini."
The Localist Coffee and Bistro Surabaya,Klampis Ngasem,cafe,Sedang,4.4,767,"Sy komplain donatnya oily kurang tiris dan Maasyaa Alloh diganti baru, pelayanan sangat memuaskan, minta tambahan es batu juga dikasih, anak² betah disini suasananya enak banget, anak yg SMA belajar dg nyaman dan anak yg TK mainan dan minta dibacain buku, koleksi bukunya banyak bangetttt"
The Localist Coffee and Bistro Surabaya,Klampis Ngasem,cafe,Sedang,4.4,767,"Setiap sabtu minggu disini ada kids book club,
@kidsbookclub yang beberapa kali kami ikut,
Karena sambil ngafe bisa nemenin anak untuk belajar dan bermain dengan Miss yg profesional. Mengajarkan anak untuk paham literasi sejak kecil. Koleksi bukunya juga banyak

Ac nya super adeeemmm,
Playgroundnya seru,"
The Localist Coffee and Bistro Surabaya,Klampis Ngasem,cafe,Sedang,4.4,767,"Kafe yang cocok untuk playdate. Orang tua makan dengan santai, anak bisa bermain dulu. Datang di hari Sabtu siang, tidak ramai jadi nyaman.
Pesan spageti, bakmi godok, orange jus habis sekitar 120rb an. Bakmi terlalu banyak lada jadi agak pedes kalau untuk anak-anak.
Makanan cukup enak.
Buku-buku cukup lengkap, arena bermain bersih dan rapi."
Rumah Kopi Nusantara - Institut Teknologi Sepuluh Nopember,Keputih,coffee_shop,Tidak Diketahui,4.9,7,"Saya nyobain es coklat sulawesi, dari rasa cukup enak pas rasa coklatnya dan manisnya juga pas, pilihan tempat ada indoor dan outdoor, tiap meja ada colokan listriknya kalau mau ngopi sambil ngecharge leptop ataupun hp, lokasi cafe di lantai dua kantin pusat, masuknya lewat tangga depan parkiran, samping pintu masuk ke kantin pusat ITS."
Rumah Kopi Nusantara - Institut Teknologi Sepuluh Nopember,Keputih,coffee_shop,Tidak Diketahui,4.9,7,Kenapa sering tutup ya kalau ke sini
Rumah Kopi Nusantara - Institut Teknologi Sepuluh Nopember,Keputih,coffee_shop,Tidak Diketahui,4.9,7,nyaman
Rumah Kopi Nusantara - Institut Teknologi Sepuluh Nopember,Keputih,coffee_shop,Tidak Diketahui,4.9,7,"Hanya minuman saja. Oke lah.
Boleh membawa makanan dari luar, karena mereka hanya menyediakan minuman."
Ost Coffee MERR,Mulyorejo,cafe,Sedang,4.6,658,"nyaman dan aesthetic banget, tapi agak mahal yah, 2 americano 1 kentang goreng habis 90ribu. 😩
tapi overall ok banget"
Ost Coffee MERR,Mulyorejo,cafe,Sedang,4.6,658,"tempatnya masuk ruko tidak terlihat dari luar, tapi interior nyaman dan menarik. kopi dan makanan cukup enak."
Ost Coffee MERR,Mulyorejo,cafe,Sedang,4.6,658,"Cozy, tenang, banyak colokan dan pilihan meja banyak banget. Estetik dengan tema industrial. Lantai 2 cocok buat yg pingin wfc dan lantai 1 cocok buat yg pingin nongkrong."
